Algoritmo,Tamanho,Distribuicao,Tempo,Comparacoes,Trocas
Bubble Sort,1000,Aleatoria,84.417,499500,255498
Selection Sort,1000,Aleatoria,47.112,499500,996
Insertion Sort,1000,Aleatoria,45.254,256490,255498
Merge Sort,1000,Aleatoria,3.08,8715,4410
Quick Sort,1000,Aleatoria,2.412,10460,6469
Heap Sort,1000,Aleatoria,3.895,16871,9096
Bubble Sort,1000,Ordenada,52.72,499500,0
Selection Sort,1000,Ordenada,48.066,499500,0
Insertion Sort,1000,Ordenada,0.155,999,0
Merge Sort,1000,Ordenada,1.889,4932,0
Quick Sort,1000,Ordenada,2.531,11217,6139
Heap Sort,1000,Ordenada,4.245,17583,9708
Bubble Sort,1000,Inversa,113.451,499500,499500
Selection Sort,1000,Inversa,48.475,499500,500
Insertion Sort,1000,Inversa,88.308,499500,499500
Merge Sort,1000,Inversa,2.477,5044,5044
Quick Sort,1000,Inversa,2.317,10573,6122
Heap Sort,1000,Inversa,3.613,15965,8316
Bubble Sort,10000,Aleatoria,8837.796,49995000,25048972
Selection Sort,10000,Aleatoria,4855.958,49995000,9990
Insertion Sort,10000,Aleatoria,4647.441,25058957,25048972
Merge Sort,10000,Aleatoria,37.755,120531,61385
Quick Sort,10000,Aleatoria,33.877,169753,83410
Heap Sort,10000,Aleatoria,54.48,235189,124052
Bubble Sort,10000,Ordenada,5356.56,49995000,0
Selection Sort,10000,Ordenada,4658.233,49995000,0
Insertion Sort,10000,Ordenada,1.622,9999,0
Merge Sort,10000,Ordenada,23.111,64608,0
Quick Sort,10000,Ordenada,34.363,158981,91038
Heap Sort,10000,Ordenada,58.585,244460,131956
Bubble Sort,10000,Inversa,11606.795,49995000,49995000
Selection Sort,10000,Inversa,4616.608,49995000,5000
Insertion Sort,10000,Inversa,9387.294,49995000,49995000
Merge Sort,10000,Inversa,26.833,69008,69008
Quick Sort,10000,Inversa,30.597,152251,81036
Heap Sort,10000,Inversa,49.761,226682,116696
Bubble Sort,50000,Aleatoria,233326.294,1249975000,625675307
Selection Sort,50000,Aleatoria,130107.957,1249975000,49987
Insertion Sort,50000,Aleatoria,117868.611,625725293,625675307
Merge Sort,50000,Aleatoria,227.891,718333,363254
Quick Sort,50000,Aleatoria,188.187,900829,497178
Heap Sort,50000,Aleatoria,345.366,1409503,737309
Bubble Sort,50000,Ordenada,141630.648,1249975000,0
Selection Sort,50000,Ordenada,126602.902,1249975000,0
Insertion Sort,50000,Ordenada,9.859,49999,0
Merge Sort,50000,Ordenada,143.838,382512,0
Quick Sort,50000,Ordenada,199.816,955410,513870
Heap Sort,50000,Ordenada,353.212,1455438,773304
Bubble Sort,50000,Inversa,303315.519,1249975000,1249975000
Selection Sort,50000,Inversa,118533.252,1249975000,25000
Insertion Sort,50000,Inversa,232103.355,1249975000,1249975000
Merge Sort,50000,Inversa,148.447,401952,401952
Quick Sort,50000,Inversa,186.197,963296,535357
Heap Sort,50000,Inversa,323.092,1366047,698892
Bubble Sort,100000,Aleatoria,968767.011,4999950000,2493549034
Selection Sort,100000,Aleatoria,487601.77,4999950000,99986
Insertion Sort,100000,Aleatoria,448968.712,2493649022,2493549034
Merge Sort,100000,Aleatoria,452.118,1536124,776251
Quick Sort,100000,Aleatoria,394.105,2030542,1123101
Heap Sort,100000,Aleatoria,746.586,3019452,1574678
Bubble Sort,100000,Ordenada,546207.099,4999950000,0
Selection Sort,100000,Ordenada,455421.897,4999950000,0
Insertion Sort,100000,Ordenada,17.709,99999,0
Merge Sort,100000,Ordenada,253.068,815024,0
Quick Sort,100000,Ordenada,362.932,1946036,1040308
Heap Sort,100000,Ordenada,721.544,3112517,1650854
Bubble Sort,100000,Inversa,1179102.069,4999950000,4999950000
Selection Sort,100000,Inversa,454474.735,4999950000,50000
Insertion Sort,100000,Inversa,904122.986,4999950000,4999950000
Merge Sort,100000,Inversa,309.031,853904,853904
Quick Sort,100000,Inversa,358.515,2014581,1008334
Heap Sort,100000,Inversa,658.355,2926640,1497434
